y=1595, x=454..478
x=546, y=1046..1054
y=692, x=457..461
x=484, y=1681..1691
x=516, y=843..852
x=576, y=219..242
y=324, x=475..491
y=424, x=622..646
x=471, y=1611..1620
x=636, y=781..786
y=716, x=562..566
y=1001, x=484..508
x=489, y=1361..1371
x=561, y=1848..1874
y=1054, x=546..569
x=540, y=902..922
x=626, y=496..515
y=19, x=545..548
x=632, y=1871..1873
y=1543, x=529..548
x=453, y=948..974
y=64, x=575..578
y=964, x=632..635
y=1522, x=537..563
x=670, y=256..263
y=462, x=447..473
y=1780, x=484..521
x=478, y=1722..1735
x=663, y=1196..1210
x=490, y=1004..1024
x=653, y=32..50
x=522, y=364..385
x=470, y=1135..1142
y=828, x=637..649
x=471, y=139..152
y=176, x=557..579
x=441, y=1033..1036
y=598, x=591..597
x=585, y=349..359
x=680, y=407..432
x=593, y=735..749
x=589, y=348..359
x=482, y=1791..1793
x=639, y=1397..1424
x=448, y=314..331
x=680, y=1959..1974
y=1708, x=469..478
x=501, y=1048..1050
y=303, x=504..515
x=539, y=1880..1890
x=606, y=1611..1637
x=532, y=163..172
x=465, y=53..61
x=612, y=1656..1664
y=1964, x=431..453
y=377, x=587..589
y=1383, x=605..628
x=684, y=1246..1256
x=651, y=1473..1481
y=674, x=628..632
x=588, y=916..924
x=603, y=536..545
x=560, y=676..683
x=567, y=1488..1502
y=179, x=601..614
x=500, y=1968..1970
y=664, x=446..457
x=507, y=261..274
x=543, y=843..852
y=1918, x=563..588
y=593, x=668..671
y=1485, x=632..635
x=640, y=1111..1122
x=451, y=558..560
x=650, y=370..375
y=1094, x=678..682
x=675, y=1267..1279
x=578, y=38..64
x=617, y=279..291
x=596, y=576..585
x=528, y=1172..1175
x=522, y=1346..1356
x=617, y=435..444
x=635, y=1310..1325
x=568, y=1025..1028
x=667, y=702..714
y=539, x=524..526
x=642, y=329..336
x=682, y=793..803
y=1884, x=650..653
x=598, y=1721..1747
x=454, y=1891..1902
y=247, x=539..544
x=540, y=282..291
x=506, y=706..713
x=471, y=1404..1413
x=477, y=1848..1862
y=718, x=530..535
x=642, y=33..50
x=666, y=853..870
x=429, y=1890..1902
y=217, x=582..597
x=545, y=19..27
y=1600, x=580..605
x=576, y=1896..1898
x=568, y=403..416
y=1580, x=487..513
x=464, y=1316..1339
y=781, x=577..588
y=1760, x=534..536
y=905, x=619..637
x=624, y=959..968
x=484, y=1173..1179
y=1953, x=636..638
x=549, y=346..362
x=628, y=1380..1383
x=598, y=555..564
y=779, x=577..588
x=526, y=539..542
x=531, y=1809..1819
y=152, x=471..516
x=485, y=917..939
y=684, x=611..639
x=565, y=1162..1182
x=646, y=1439..1447
y=274, x=507..523
x=480, y=561..563
y=815, x=579..602
y=1054, x=496..515
x=473, y=641..669
x=457, y=638..664
x=602, y=698..701
y=290, x=439..460
x=659, y=725..740
x=597, y=122..141
x=522, y=1369..1372
x=679, y=350..369
x=524, y=102..122
y=1671, x=563..589
y=1691, x=482..484
x=494, y=1285..1300
x=449, y=1249..1260
x=601, y=536..545
x=473, y=440..462
y=657, x=513..523
x=524, y=390..415
y=122, x=524..533
y=262, x=573..598
y=1162, x=621..624
y=1953, x=492..494
y=681, x=628..632
y=907, x=561..589
x=513, y=722..748
x=625, y=1819..1834
x=532, y=1327..1337
x=435, y=1896..1898
x=566, y=605..608
x=495, y=1831..1837
y=725, x=520..544
x=480, y=1152..1176
x=629, y=1940..1961
x=489, y=1826..1838
y=545, x=601..603
y=1827, x=567..572
x=471, y=217..236
y=1664, x=612..624
x=481, y=1766..1775
x=563, y=1624..1649
y=1531, x=476..479
y=701, x=549..551
x=682, y=1088..1094
x=455, y=1275..1291
y=582, x=546..561
y=762, x=618..630
x=582, y=1201..1221
x=656, y=1008..1012
y=1880, x=671..673
y=687, x=583..601
y=1478, x=463..468
x=579, y=164..176
x=580, y=741..745
y=1169, x=611..630
y=881, x=623..626
x=618, y=812..820
x=518, y=1386..1398
x=655, y=1620..1623
x=678, y=393..403
y=330, x=574..577
y=347, x=612..636
x=600, y=1496..1510
x=468, y=1478..1481
x=618, y=1140..1142
y=228, x=527..529
x=608, y=557..568
y=1217, x=666..670
y=466, x=573..598
y=215, x=517..535
y=1762, x=608..619
x=532, y=1601..1603
y=491, x=445..447
x=591, y=596..598
x=543, y=1096..1107
x=634, y=1880..1900
x=621, y=1179..1181
x=475, y=313..324
x=657, y=465..490
y=1333, x=515..523
y=786, x=619..636
x=492, y=1684..1694
x=516, y=1964..1977
y=1597, x=646..670
x=542, y=795..805
x=498, y=49..60
y=1071, x=468..482
x=577, y=933..937
x=598, y=254..262
x=530, y=132..133
x=591, y=1612..1637
y=90, x=529..550
x=500, y=1813..1815
x=601, y=318..335
x=465, y=895..910
y=1043, x=618..620
y=170, x=446..462
x=516, y=140..152
x=515, y=944..954
y=1181, x=621..645
y=1257, x=479..494
y=916, x=529..534
x=560, y=405..419
y=1551, x=471..473
x=659, y=145..165
x=529, y=220..228
y=494, x=445..447
x=607, y=1075..1085
x=606, y=635..662
x=585, y=1361..1366
x=507, y=47..56
x=551, y=519..531
x=657, y=724..740
x=567, y=917..924
y=924, x=567..588
x=670, y=1203..1217
x=544, y=1643..1663
x=566, y=1445..1458
x=564, y=1068..1080
x=523, y=160..168
x=442, y=1495..1500
y=673, x=646..650
x=450, y=1185..1195
x=626, y=1549..1554
y=199, x=578..582
x=488, y=1221..1243
x=436, y=1850..1858
y=1086, x=665..668
x=432, y=1726..1733
y=1974, x=667..680
x=529, y=1601..1603
y=352, x=465..485
x=586, y=318..335
x=611, y=754..768
y=61, x=465..471
x=656, y=1491..1512
x=478, y=281..302
x=531, y=996..1021
x=670, y=1097..1100
x=524, y=1369..1372
x=487, y=1284..1300
x=638, y=357..379
x=455, y=890..904
y=712, x=562..566
y=670, x=483..506
x=670, y=425..429
y=1376, x=479..495
x=587, y=755..768
x=495, y=1346..1356
x=589, y=434..444
y=987, x=612..634
x=656, y=913..927
y=842, x=659..682
x=646, y=654..673
x=607, y=1549..1554
x=579, y=436..439
y=921, x=544..557
x=440, y=947..974
y=376, x=666..671
x=665, y=1079..1086
x=621, y=1111..1122
x=499, y=1884..1894
x=597, y=596..598
y=1196, x=467..479
x=563, y=1512..1522
y=596, x=591..597
x=518, y=95..108
x=457, y=690..692
x=578, y=636..646
y=335, x=586..601
x=620, y=1069..1073
x=497, y=494..517
x=581, y=1339..1354
y=1770, x=581..602
y=1061, x=602..607
x=529, y=63..90
x=469, y=470..487
x=544, y=1387..1398
x=620, y=996..1006
x=610, y=1035..1046
x=591, y=1103..1112
x=680, y=1116..1132
y=1980, x=472..480
x=617, y=1232..1235
x=566, y=957..966
x=614, y=177..179
x=432, y=721..731
y=359, x=585..589
x=507, y=614..631
x=537, y=1647..1650
x=561, y=578..582
x=570, y=1559..1572
y=1176, x=474..480
x=629, y=814..824
y=1670, x=488..490
x=676, y=351..369
y=1873, x=616..632
y=609, x=460..463
y=1182, x=559..565
y=1000, x=612..614
x=561, y=1495..1499
x=661, y=1337..1361
x=457, y=732..743
y=1970, x=498..500
y=1667, x=650..656
x=608, y=1466..1484
x=593, y=1232..1235
x=480, y=1976..1980
x=470, y=740..749
x=483, y=706..713
y=914, x=490..511
x=473, y=1523..1551
x=667, y=51..64
x=667, y=1960..1974
x=533, y=103..122
y=478, x=626..639
x=475, y=1404..1413
x=435, y=353..361
y=1566, x=592..596
x=566, y=712..716
x=618, y=730..741
x=601, y=833..844
x=432, y=1599..1614
y=1402, x=556..575
x=534, y=1749..1760
x=494, y=1486..1496
x=457, y=1351..1371
y=1043, x=640..643
x=563, y=1917..1918
y=1099, x=557..559
x=661, y=891..898
x=528, y=1251..1263
x=587, y=741..745
x=487, y=172..175
x=538, y=1940..1944
x=573, y=254..262
y=263, x=663..670
x=602, y=1751..1770
x=565, y=362..373
x=677, y=1383..1408
y=1554, x=607..626
y=168, x=523..525
y=1364, x=670..675
x=581, y=1750..1770
x=671, y=1877..1880
x=590, y=1200..1221
y=1107, x=543..565
y=877, x=604..607
x=635, y=962..964
x=656, y=557..564
x=638, y=1457..1482
x=492, y=290..299
y=639, x=621..635
x=591, y=933..937
x=611, y=1820..1834
x=503, y=1383..1396
x=492, y=1745..1758
y=974, x=440..453
x=454, y=1819..1832
y=1022, x=443..458
x=465, y=347..352
x=554, y=16..33
y=624, x=498..500
x=567, y=633..641
